,name,salary,score,type,location,scale,url
0,万达影城,平均工资  ￥3059,4.0,影视/媒体 ,大连 ,10000人以上 ,www.wandafilm.com
1,蓝色光标,平均工资  ￥6362,3.8,广告/公关/会展 ,北京 ,1000-9999人 ,www.bluefocusgroup.com
2,奥美广告,平均工资  ￥5393,4.1,广告/公关/会展 ,上海 ,1000-9999人 ,www.ogilvy.com.cn/
3,电通,平均工资  ￥7000,3.7,广告/公关/会展 ,北京 ,500-999人 ,www.dentsu.com.cn
4,中央电视台,平均工资  ￥7975,4.1,影视/媒体 ,北京 ,1000-9999人 ,www.cctv.com
5,ABC公司,平均工资  ￥7426,4.1,影视/媒体 ,北京 ,100-499人 ,abcnews.go.com/
6,华数传媒,平均工资  ￥4620,3.6,影视/媒体 ,杭州 ,1000-9999人 ,www.wasu.com.cn
7,分众传媒,平均工资  ￥5000,3.6,影视/媒体 ,北京 ,1000-9999人 ,www.focusmedia.cn
8,上海奥维思市场营销服务公司,平均工资  ￥3625,2.6,广告/公关/会展 ,上海 ,20-99人 ,www.alwaysmkt.com
9,天津天士力医药营销集团有限公司,平均工资  ￥5500,3.5,广告/公关/会展 ,天津 ,20-99人 ,www.tasly.com/fgs/yiyao/index.htm
10,GroupM 群邑,平均工资  ￥5075,3.9,影视/媒体 ,上海 ,1000-9999人 ,www.groupmchina.com/
11,外研社,平均工资  ￥6000,4.0,文化/艺术/出版 ,北京 ,500-999人 ,www.fltrp.com
12,人民网,平均工资  ￥6320,4.0,影视/媒体 ,北京 ,1000-9999人 ,www.people.com.cn
13,新华社,平均工资  ￥7250,4.1,文化/艺术/出版 ,北京 ,1000-9999人 ,www.xinhuanet.com
14,奥美公关,平均工资  ￥2550,4.0,广告/公关/会展 ,上海 ,1000-9999人 ,www.ogilvy.com.cn
15,万博宣伟,平均工资  ￥2376,4.0,广告/公关/会展 ,北京 ,20-99人 ,www.webershandwick.cn
16,博雅公关,平均工资  ￥2900,4.1,广告/公关/会展 ,苏州 ,1000-9999人 ,www.bmchina.com.cn
17,百视通公司,平均工资  ￥6771,3.5,影视/媒体 ,上海 ,100-499人 ,www.bestv.com.cn
18,CTR央视市场研究,平均工资  ￥5775,3.5,广告/公关/会展 ,北京 ,500-999人 ,www.ctrchina.cn
19,上海麦英文化,平均工资  ￥4500,3.4,广告/公关/会展 ,上海 ,100-499人 ,www.shdamai.com
20,光线传媒,平均工资  ￥6232,3.6,影视/媒体 ,北京 ,500-999人 ,www.ewang.com
21,罗德公关,平均工资  ￥2844,4.2,广告/公关/会展 ,上海 ,100-499人 ,www.ruderfinn.com
22,深圳邦德文化,平均工资  ￥4660,3.3,影视/媒体 ,深圳 ,100-499人 ,www.bond520.com
23,爱德曼,平均工资  ￥1738,4.0,广告/公关/会展 ,北京 ,100-499人 ,www.edelman.com
24,麦肯·光明,平均工资  ￥3625,3.9,广告/公关/会展 ,上海 ,20-99人 ,www.mccann.com
25,湖南卫视,平均工资  ￥5000,4.1,影视/媒体 ,长沙 ,1000-9999人 ,www.hunantv.com
26,西西弗书店,平均工资  ￥2000,3.7,文化/艺术/出版 ,重庆 ,1000-9999人,
27,伟达,平均工资  ￥8090,暂无,广告/公关/会展 ,北京 ,100-499人 ,www.hillandknowlton.com.cn
28,广州天诺营销策划有限公司,平均工资  ￥3500,2.9,广告/公关/会展 ,广州 ,100-499人 ,www.inno-vision.cn
29,山东星火国际传媒集团有限公司,平均工资  ￥3537,3.0,影视/媒体 ,济南 ,500-999人 ,www.sparke.cn
