job_title,yearly_salary,place,seniority,degree
首席技术执行官CTO,30k-40k,北京 朝阳区 四惠,10年以上,本科
iOS高级开发工程师,20k-30k,北京 朝阳区 CBD,3-5年,本科
技术总监,20k-30k,北京 海淀区 北沙滩,5-10年,本科
PHP,20k-40k,北京 东城区 雍和宫,5-10年,本科
大数据开发工程师,20k-30k,北京 朝阳区 呼家楼,5-10年,本科
产品经理,25k-40k,北京  ,5-10年,本科
高级php工程师,20k-30k,北京 朝阳区 四惠,5-10年,本科
研发VP,50k-65k,北京 朝阳区 四惠,10年以上,本科
产品总监,25k-35k,北京 朝阳区 四惠,5-10年,本科
游戏制作人,30k-40k,北京 朝阳区 北苑,1-3年,本科
Nodejs 开发工程师,25k-30k,北京 朝阳区 建国路,1-3年,本科
Android高级开发工程师,20k-30k,北京 朝阳区 CBD,3-5年,本科
华为云-智能骨干网高级研发工程师,20k-40k,北京 海淀区 上地,3-5年,本科
推荐算法工程师,20k-30k,北京 海淀区 北沙滩,3-5年,硕士
高级 Python 工程师,20k-35k,北京 海淀区 北京大学,1年以内,本科
Java,20k-25k,北京 朝阳区 呼家楼,3-5年,本科
自然语言处理研发工程师,25k-35k,北京 朝阳区 呼家楼,5-10年,本科
Java全栈工程师,20k-25k,北京 朝阳区 建外大街,3-5年,本科
行业研究专家,20k-40k,北京 海淀区 西二旗,经验不限,硕士
内容创意总监,20k-30k,北京 朝阳区 高碑店,经验不限,本科
数据挖掘工程师,15k-25k,北京 朝阳区 高碑店,3-5年,本科
电商供应链总监,20k-40k,北京 朝阳区 望京,5-10年,本科
资深Web工程师,25k-30k,北京 朝阳区 建国路,3-5年,本科
销售总监,20k-30k,北京 朝阳区 潘家园,5-10年,大专
Java高级软件工程师,12k-18k,北京 朝阳区 四惠,5-10年,本科
华为云-资源管理调度主任工程师/专家,30k-60k,北京 海淀区 上地,5-10年,本科
网红/模特/艺人,20k-40k,北京 朝阳区 酒仙桥,经验不限,学历不限
媒介总监,20k-30k,北京 大兴区 亦庄,3-5年,本科
搜索引擎研发工程师,25k-35k,北京 朝阳区 呼家楼,5-10年,本科
PHP开发工程师,15k-20k,北京 朝阳区 望京,3-5年,本科
华为云-AIOps智能运维高级工程师,25k-50k,北京 海淀区 上地,3-5年,本科
软件产品经理,15k-25k,北京 朝阳区 高碑店,3-5年,本科
华为云-云网络高级工程师,20k-40k,北京 海淀区 上地,3-5年,本科
电视节目外联制片/商务制片,20k-30k,北京 朝阳区 朝阳路,1-3年,大专
项目总监,20k-40k,北京  ,3-5年,学历不限
制片人,25k-35k,北京  ,10年以上,本科
副主编,20k-30k,北京 朝阳区 燕莎,5-10年,本科
PHP,20k-25k,北京 朝阳区 朝外,5-10年,本科
产品经理,15k-20k,北京 朝阳区 四惠,3-5年,本科
JAVA Software Development Engineer,15k-30k,北京 朝阳区 高碑店,1-3年,本科
资深时尚编辑,20k-30k,北京 朝阳区 朝阳门,1-3年,本科
项目经理,10k-15k,北京 海淀区 北沙滩,3-5年,本科
AI高级研发工程师,20k-30k,北京 朝阳区 花家地,1-3年,本科
高级PHP工程师,12k-20k,北京 朝阳区 四惠,3-5年,本科
net开发工程师,15k-20k,北京 朝阳区 高碑店,3-5年,本科
web前端,15k-30k,北京 西城区 西直门,1-3年,本科
Java开发工程师,15k-30k,北京 朝阳区 高碑店,5-10年,本科
品牌总监,20k-30k,北京 朝阳区 潘家园,5-10年,本科
性能测试工程师,15k-25k,北京 朝阳区 高碑店,3-5年,本科
区块链学院课程研发总监,40k-60k,北京 朝阳区 北苑,5-10年,本科
Magento开发工程师,15k-30k,北京 朝阳区 高碑店,3-5年,本科
教育品牌加盟总监,20k-25k,北京 海淀区 花园路,3-5年,本科
PHP开发工程师,15k-25k,北京 朝阳区 高碑店,5-10年,本科
舞蹈主播,20k-21k,北京 朝阳区 高碑店,经验不限,学历不限
PHP开发工程师,10k-15k,北京 朝阳区 百子湾,3-5年,大专
web前端,15k-20k,北京 朝阳区 呼家楼,1-3年,本科
IOS开发工程师,15k-20k,北京 朝阳区 望京,3-5年,本科
Android开发工程师,15k-20k,北京 朝阳区 望京,3-5年,本科
系统测试工程师,12k-20k,北京 朝阳区 高碑店,3-5年,本科
商学院课程开发总监,20k-40k,北京 朝阳区 燕莎,3-5年,本科
文案,5k-6k,上海 徐汇区 上海南站,1-3年,大专
文案,4k-7k,成都 龙泉驿区 洪河,1-3年,大专
文案,6k-12k,广州 天河区 珠江新城,1年以内,本科
文案,6k-10k,成都 武侯区 火车南站,3-5年,本科
文案,5k-8k,宁波  ,1-3年,本科
文案,5k-8k,广州 白云区 黄石,1-3年,大专
文案,3k-6k,朔州  ,经验不限,学历不限
文案,5k-8k,南京 雨花台区 安德门,1-3年,本科
创意文案,5k-8k,武汉 江岸区 永清,1-3年,本科
资深文案,15k-20k,上海 普陀区 金沙江路,5-10年,本科
文案,5k-8k,天津 南开区 荣业大街,1-3年,大专
文案,7k-11k,上海 徐汇区 田林,1年以内,本科
