,name,salary
0,Java架构师,职位薪资:30000-50000
1,Java,职位薪资:20000-40000
2,资深中间件开发工程师,职位薪资:15000-30000
3,产品运营,职位薪资:20000-30000
4,资深前端开发工程师/专家,职位薪资:20000-40000
5,外贸业务员,职位薪资:8000-16000
6,阿里巴巴前端工程师（外包岗位）,职位薪资:10000-11000
7,Java架构/开发,职位薪资:16000-28000
8,外贸经理,职位薪资:5000-10000
9,前端开发工程师,职位薪资:15000-30000
10,外贸业务员,职位薪资:4000-6000
11,资深交互设计师/专家,职位薪资:20000-40000
12,外贸经理,职位薪资:8000-10000
13,口碑-客户经理-本地生活（杭州）,职位薪资:5000-10000
14,iOS高级工程师/专家,职位薪资:20000-40000
15,高级客户经理,职位薪资:15000-30000
16,资深java开发（工作地：杭州）,职位薪资:20000-40000
17,iOS开发专家,职位薪资:30000-50000
18,产品运营,职位薪资:18000-25000
19,高级销售经理,职位薪资:10000-20000
20,资深java开发工程师,职位薪资:15000-40000
21,销售专员,职位薪资:5000-10000
22,Lazada资深Java工程师-营销&大促产品矩阵,职位薪资:30000-50000
23,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
24,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
25,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
26,销售经理,职位薪资:10000-20000
27,Android高级工程师,职位薪资:16000-30000
28,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
29,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
30,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
31,外贸业务员,职位薪资:5000-8000
32,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
33,Java(高级开发+架构）- 走内部推荐,职位薪资:25000-50000
34,销售经理,职位薪资:8000-12000
35,推荐产品经理,职位薪资:20000-40000
36,销售经理,职位薪资:7000-14000
37,销售经理,职位薪资:20000-30000
38,UC事业部-内容运营经理（科技方向）-广州,职位薪资:20000-30000
39,客户经理,职位薪资:9000-13000
40,UC事业部-高级视觉设计师-RED设计中心,职位薪资:20000-30000
41,销售顾问,职位薪资:7000-14000
42,口碑-客户经理（本地生活）-杭州,职位薪资:7000-14000
43,乳饮及粮油米面资深招商专员（湖北，江西）,职位薪资:16000-17000
44,Test Develop Engineer (海外工作学习经验),职位薪资:25000-35000
45,数据挖掘,职位薪资:30000-60000
46,高级客户经理,职位薪资:25000-35000
47,国际站运营,职位薪资:5000-6000
48,销售,职位薪资:5000-10000
49,Java研发实习生,职位薪资:5000-10000
50,阿里巴巴客户经理,职位薪资:20000-30000
51,Java,职位薪资:15000-30000
52,海外市场,职位薪资:15000-30000
53,电话销售,职位薪资:10000-20000
54,销售经理,职位薪资:10000-18000
55,外贸经理主管,职位薪资:10000-15000
56,外贸经理（阿里国际站客户招聘）,职位薪资:3000-6000
57,风险能力中台-Java技术专家,职位薪资:20000-40000
58,外贸业务员,职位薪资:5000-10000
59,外贸业务员（阿里国际站客户招聘）,职位薪资:2000-4000
60,城市拍档,职位薪资:8000-15000
61,资深开发工程师/技术专家,职位薪资:25000-50000
62,阿里巴巴国际站运营,职位薪资:5000-10000
63,市场推广,职位薪资:16000-32000
64,淘宝客服,职位薪资:5000-10000
65,销售顾问,职位薪资:8000-13000
66,销售经理,职位薪资:7000-14000
67,外贸业务员,职位薪资:4000-6000
68,城市拍档,职位薪资:8000-15000
69,外贸业务,职位薪资:6000-12000
70,客户经理,职位薪资:7000-14000
71,Java资深开发/技术专家,职位薪资:25000-50000
72,大客户代表,职位薪资:15000-30000
73,城市拍档,职位薪资:8000-13000
74,高级java开发,职位薪资:15000-30000
75,蚂蚁金服-资深行业技术工程师/专家,职位薪资:20000-40000
76,城市拍档,职位薪资:8000-15000
77,客户经理,职位薪资:7000-14000
78,HRBP招聘方向,职位薪资:20000-40000
79,资深java开发（工作地：杭州）,职位薪资:20000-40000
80,城市拍档,职位薪资:8000-13000
81,电商设计,职位薪资:5000-8000
82,HRBP,职位薪资:15000-25000
83,客户经理,职位薪资:10000-20000
84,外贸业务员,职位薪资:5000-8000
85,PaaS 产品经理,职位薪资:15000-30000
86,组织文化资深专员,职位薪资:8000-12000
87,网络推广（SEO）,职位薪资:4000-8000
88,KA-Pos业务客户经理,职位薪资:10000-20000
89,外贸业务员,职位薪资:5000-10000
90,新媒体推广负责人,职位薪资:12000-24000
91,网站平台运营,职位薪资:5000-8000
92,客户经理,职位薪资:6000-12000
93,资深前端开发工程师,职位薪资:20000-40000
94,外贸业务员,职位薪资:3000-6000
95,外贸专员,职位薪资:5000-10000
96,招聘专家,职位薪资:20000-30000
97,销售经理,职位薪资:10000-20000
98,外贸业务员,职位薪资:4000-6000
99,阿里巴巴-飞猪Android高级/专家工程师,职位薪资:20000-40000
100,外贸经理,职位薪资:8000-14000
101,解决方案工程师(前端方向),职位薪资:20000-40000
102,城市拍档,职位薪资:6000-11000
103,蚂蚁金服-JAVA工程师/技术专家（P6/P7,职位薪资:25000-50000
104,数据智能—数据开发专家/高级专家,职位薪资:50000-80000
105,资深架构师,职位薪资:50000-100000
106,BD经理,职位薪资:9000-14000
107,销售专员,职位薪资:6000-12000
108,销售顾问,职位薪资:10000-20000
109,外贸运营/跨境电商运营（替阿里客户招聘）,职位薪资:5000-10000
110,高级客户经理,职位薪资:15000-30000
111,优酷-短视频产品专家（兴趣垂类）-上海,职位薪资:15000-30000
112,产品经理,职位薪资:25000-40000
113,后端开发,职位薪资:20000-30000
114,销售经理,职位薪资:10000-20000
115,城市拍档,职位薪资:8000-16000
116,物流运营,职位薪资:15000-20000
117,客户经理,职位薪资:4000-8000
118,高级前端开发工程师,职位薪资:20000-40000
119,外贸经理,职位薪资:10000-20000
120,销售经理,职位薪资:10000-20000
121,阿里巴巴诚信通电销诚聘top销售,职位薪资:15000-28000
122,外贸专员,职位薪资:4000-6000
123,外贸业务员,职位薪资:6000-12000
124,外贸专员,职位薪资:3000-6000
125,Java开发工程师,职位薪资:15000-30000
126,销售运营专员,职位薪资:7000-14000
127,阿里巴巴城市合伙人,职位薪资:3000-6000
128,视频制作(动画视频制作)替阿里客户招聘,职位薪资:5000-10000
129,阿里国际站运营专家,职位薪资:4000-8000
130,Java高级工程师/开发专家,职位薪资:16000-32000
131,测试开发专家,职位薪资:25000-40000
132,服务运营（SP）高级专家,职位薪资:15000-20000
133,口碑人事助理,职位薪资:6000-7000
134,高级客户经理,职位薪资:10000-20000
135,高级客户经理,职位薪资:9000-10000
136,外贸助理,职位薪资:3000-4000
137,销售专员,职位薪资:6000-12000
138,外贸业务员,职位薪资:4000-8000
139,电商英语运营专员（替阿里客户招聘）,职位薪资:5000-10000
140,销售主管,职位薪资:12000-24000
141,电商运营,职位薪资:15000-30000
142,蚂蚁金服-安全风险客服,职位薪资:5000-10000
143,电商产品经理,职位薪资:15000-30000
144,JAVA开发实习生,职位薪资:3000-6000
145,口碑城市业务主管,职位薪资:10000-20000
146,销售经理,职位薪资:15000-30000
147,大客户代表,职位薪资:10000-20000
148,城市拍档,职位薪资:6000-11000
149,阿里巴巴诚信通top销售资深营销顾问专家,职位薪资:15000-30000
150,销售经理,职位薪资:15000-20000
151,外贸业务员,职位薪资:7000-10000
152,销售专员,职位薪资:10000-20000
153,外贸业务员B2B,职位薪资:5000-10000
154,外贸经理助理,职位薪资:3000-4000
155,高级测试开发工程师,职位薪资:25000-40000
