,name,salary
0,Web高级前端工程师,职位薪资:20000-30000
1,医美B端运营,职位薪资:15000-30000
2,汽车APP产品经理,职位薪资:20000-40000
3,内容运营实习生,职位薪资:2000-4000
4,高级前端工程师,职位薪资:20000-40000
5,FPGA开发,职位薪资:20000-40000
6,web前端开发工程师-百度短视频业务线,职位薪资:15000-30000
7,多模搜索部_前端研发工程师,职位薪资:18000-30000
8,百度凤巢_C++研发工程师 （检索方向）,职位薪资:20000-40000
9,自动驾驶技术部_资深项目经理,职位薪资:50000-80000
10,后端研发工程师-短视频业务,职位薪资:20000-35000
11,AI创新业务部_分导诊算法,职位薪资:15000-30000
12,数据挖掘研发实习生,职位薪资:2000-4000
13,web前端,职位薪资:20000-30000
14,地图出行业务部_导航架构高级研发工程师,职位薪资:20000-35000
15,餐饮助理,职位薪资:6000-10000
16,AI创新业务部_分导诊工程,职位薪资:15000-30000
17,百度凤巢_机器学习/数据挖掘/NLP工程师,职位薪资:20000-40000
18,百度凤巢_C++研发工程师,职位薪资:20000-40000
19,Java,职位薪资:15000-25000
20,产品运营,职位薪资:6000-7000
21,UI设计师,职位薪资:25000-35000
22,电商品类运营,职位薪资:15000-30000
23,数据挖掘,职位薪资:15000-30000
24,百家号业务部_iOS开发工程师,职位薪资:15000-30000
25,百度知道商业化产品经理,职位薪资:15000-30000
26,百度凤巢_Web前端研发工程师,职位薪资:20000-40000
27,医美B端运营,职位薪资:20000-40000
28,电商品控运营,职位薪资:25000-50000
29,产品经理(toC慢病管理平台方向),职位薪资:15000-29000
30,机器学习算法工程师（图像方向）,职位薪资:15000-30000
31,测试开发工程师,职位薪资:20000-40000
32,产品实习生,职位薪资:2000-3000
33,运营助理/专员,职位薪资:7000-8000
34,Android高级研发工程师,职位薪资:15000-30000
35,落地运营,职位薪资:7000-9000
36,数据分析师,职位薪资:15000-30000
37,AI创新业务部_产品经理(toB医院管理系统),职位薪资:15000-30000
38,媒体运营助理,职位薪资:10000-15000
39,电商品控运营,职位薪资:20000-40000
40,Devops系统资深开发工程师,职位薪资:25000-45000
41,医美内容平台编辑,职位薪资:15000-30000
42,文本分析与挖掘工程师,职位薪资:15000-30000
43,百度知道高级产品经理（B端问答生态方向）,职位薪资:15000-30000
44,机器学习算法中级/高级工程师,职位薪资:30000-60000
45,交互设计师,职位薪资:10000-20000
46,PHP高级研发工程师,职位薪资:15000-30000
47,医美内容平台主编,职位薪资:15000-30000
48,大客户代表,职位薪资:12000-24000
49,机器学习研发中级/高级工程师,职位薪资:30000-60000
50,医美平台主编,职位薪资:25000-50000
51,质量监控专员,职位薪资:15000-30000
52,项目经理,职位薪资:15000-30000
53,商业产品经理,职位薪资:15000-30000
54,PHP高级开发工程师,职位薪资:15000-30000
55,医美内容平台编辑,职位薪资:15000-30000
56,Web前端研发工程师,职位薪资:18000-25000
57,网络工程师,职位薪资:15000-30000
58,自动驾驶控制算法工程师,职位薪资:1000-2000
59,自动驾驶环境建模规划工程师,职位薪资:1000-2000
60,Web前端研发工程师实习生,职位薪资:3000-5000
61,mcu软件开发工程师,职位薪资:1000-2000
62,图像产品经理,职位薪资:25000-50000
63,java开发实习生,职位薪资:4000-5000
64,IOS平台开发实习生,职位薪资:4000-9000
65,产品经理(语音搜索),职位薪资:25000-50000
66,电商品控运营,职位薪资:15000-30000
67,软件研发工程师（PHP）,职位薪资:25000-50000
68,电商品类运营,职位薪资:15000-30000
69,产品经理,职位薪资:12000-24000
70,产品研发工程师,职位薪资:18000-35000
71,自动驾驶高级算法工程师（感知方向）,职位薪资:1000-2000
72,AI开放平台——JAVA高级研发工程师,职位薪资:20000-40000
73,软件研发工程师（C++）,职位薪资:25000-50000
74,大数据研发工程师,职位薪资:20000-40000
75,百度AI实训平台产品经理,职位薪资:20000-40000
76,Python,职位薪资:15000-30000
77,百度凤巢_C++研发/高级研发工程师,职位薪资:20000-40000
78,PHP,职位薪资:20000-30000
79,百度凤巢_机器学习/数据挖掘工程师,职位薪资:20000-40000
80,推荐策略产品经理,职位薪资:18000-35000
81,web前端,职位薪资:20000-30000
82,搜索运维部_手百FEED数据流运维研发工程师,职位薪资:15000-30000
83,技术平台架构/高级架构工程师,职位薪资:20000-35000
84,百度知识搜索部高级Android研发工程师,职位薪资:15000-30000
85,活动 / 运营 实习生,职位薪资:4000-5000
86,AI技术生态部_Web(php)研发工程师,职位薪资:20000-30000
87,医疗大数据平台研发工程师,职位薪资:30000-50000
88,项目助理（第三方合同）,职位薪资:10000-15000
89,AI技术生态部_资深研发工程师,职位薪资:25000-50000
90,项目管理专家（数据方向）,职位薪资:15000-16000
91,私有化运维研发工程师,职位薪资:12000-20000
92,算法工程师,职位薪资:30000-60000
93,地图平台高级产品经理,职位薪资:20000-30000
94,C++,职位薪资:4000-6000
95,QNX研发工程师,职位薪资:25000-40000
96,机器学习工程师,职位薪资:18000-35000
97,IT技术支持,职位薪资:15000-30000
98,视频/视觉理解策略工程师,职位薪资:15000-30000
99,资深研发工程师,职位薪资:25000-40000
