,info,name,salary,score
0,互联网 |北京 |10000人以上 |www.baidu.com/,百度,平均工资  ￥10000,4.3
1,互联网 |深圳 |10000人以上 |hr.tencent.com,腾讯,平均工资  ￥11580,4.4
2,电子商务 |杭州 |10000人以上 |www.alibabagroup.com,阿里巴巴,平均工资  ￥10000,4.3
3,电子商务 |北京 |10000人以上 |www.uibe.edu.cn/,京东,平均工资  ￥7720,3.9
4,IT服务/系统集成 |北京 |1000-9999人,中软国际,平均工资  ￥6804,3.0
5,计算机软件 |沈阳 |10000人以上 |www.neusoft.com,东软集团,平均工资  ￥5950,3.5
6,计算机软件 |北京 |10000人以上,软通动力,平均工资  ￥7250,3.3
7,O2O |北京 |1000-9999人 |www.nuomi.com,百度糯米,平均工资  ￥5000,4.0
8,IT服务/系统集成 |北京 |1000-9999人 |www.ibm.com/cn/,IBM,平均工资  ￥12035,4.1
9,O2O |北京 |10000人以上,美团网,平均工资  ￥5393,3.9
10,电子商务 |广州 |1000-9999人 |www.163.com/,网易,平均工资  ￥8400,4.3
11,计算机软件 |北京 |10000人以上 |www.pactera.com/,文思海辉,平均工资  ￥7250,3.3
12,计算机软件 |北京 |500-999人 |www.yonyou.com,用友软件,平均工资  ￥8090,3.7
13,门户网站/搜索引擎 |北京 |1000-9999人 |www.sina.com.cn,新浪,平均工资  ￥8000,3.9
14,IT服务/系统集成 |北京 |1000-9999人 |www.digitalchina.com/,神州数码,平均工资  ￥7527,3.5
15,在线旅游 |上海 |10000人以上 |www.ctrip.com,携程旅行网,平均工资  ￥5800,3.8
16,计算机软件 |北京 |10000人以上 |www.asiainfo-linkage.com.cn/index.html,亚信(AsiaInfo),平均工资  ￥8052,3.7
17,在线旅游 |北京 |10000人以上 |www.qunar.com,去哪儿网,平均工资  ￥6000,3.9
18,互联网 |北京 |10000人以上 |www.58.com,58同城,平均工资  ￥4525,3.6
19,互联网 |北京 |1000-9999人 |www.xiaojukeji.com,滴滴出行,平均工资  ￥8000,4.0
20,O2O |北京 |10000人以上 |www.fang.com,搜房网,平均工资  ￥5000,3.3
21,计算机软件 |北京 |10000人以上 |www.microsoft.com,微软中国（Microsoft）,平均工资  ￥14520,4.3
22,计算机软件 |深圳 |1000-9999人 |www.kingdee.com,金蝶软件,平均工资  ￥7074,3.7
23,IT服务/系统集成 |上海 |1000-9999人 |www.ge.com/cn/,GE,平均工资  ￥10485,4.1
24,计算机软件 |北京 |10000人以上 |www.beyondsoft.com,博彦科技 Beyondsoft,平均工资  ￥6525,3.2
25,电子商务 |南京 |1000-9999人 |www.suning.com,苏宁易购,平均工资  ￥6000,3.3
26,O2O |上海 |10000人以上 |www.dianping.com,大众点评,平均工资  ￥5677,4.0
27,计算机软件 |北京 |1000-9999人 |www.sinosoft.com.cn/,中科软,平均工资  ￥6300,3.1
28,互联网金融 |北京 |10000人以上 |www.CreditEase.cn,宜信,平均工资  ￥5393,3.8
29,计算机软件 |杭州 |1000-9999人 |www.hundsun.com/,恒生电子,平均工资  ￥8184,3.7
30,门户网站/搜索引擎 |北京 |1000-9999人 |www.sohu.com,搜狐,平均工资  ￥9254,4.0
31,IT服务/系统集成 |杭州 |1000-9999人 |www.dahuatech.com,浙江大华股份,平均工资  ￥7250,3.9
32,电子商务 |广州 |500-999人 |www.vip.com,唯品会,平均工资  ￥5393,3.8
33,网游/手游 |广州 |10000人以上 |game.163.com/,网易游戏,平均工资  ￥7875,4.2
34,网络安全 |北京 |1000-9999人 |www.360.cn,奇虎360,平均工资  ￥10560,4.1
35,互联网 |北京 |10000人以上 |www.bytedance.com,字节跳动,平均工资  ￥6000,3.8
36,计算机软件 |济南 |1000-9999人 |www.inspur.com,浪潮集团,平均工资  ￥5869,3.7
37,在线教育 |北京 |10000人以上 |www.xueda.com+,学大教育,平均工资  ￥3190,3.4
38,在线教育 |北京 |10000人以上 |www.xueersi.com,学而思集团,平均工资  ￥5250,3.9
39,计算机软件 |北京 |500-999人 |www.css.com.cn,中软,平均工资  ￥7720,3.0
40,计算机软件 |合肥 |1000-9999人 |www.iflytek.com,科大讯飞,平均工资  ￥6320,3.8
41,电子商务 |北京 |1000-9999人 |www.amazon.cn,亚马逊,平均工资  ￥7000,4.0
42,移动互联网 |深圳 |1000-9999人 |www.sangfor.com.cn,深信服科技,平均工资  ￥9620,4.1
43,网络招聘 |上海 |1000-9999人 |www.51job.com,前程无忧,平均工资  ￥4000,3.7
44,IT服务/系统集成 |上海 |1000-9999人 |www.hand-china.com,上海汉得信息技术股份有限公司,平均工资  ￥7250,3.8
45,电子商务 |杭州 |10000人以上 |www.taobao.com,淘宝网,平均工资  ￥5500,4.2
46,计算机软件 |上海 |1000-9999人,上海微创软件,平均工资  ￥7754,3.5
47,计算机软件 |台北 |10000人以上 |www.wistron.com.cn,纬创资通,平均工资  ￥3856,3.2
48,外语培训 |上海 |1000-9999人 |www.tutorabc.com.cn,vipabc,平均工资  ￥6000,4.1
49,计算机软件 |上海 |10000人以上 |www.infosys.com,印孚瑟斯技术（Infosys）,平均工资  ￥6004,3.3
