,name,salary
0,天美—高级游戏引擎开发【12.22面试专场】,职位薪资:25000-40000
1,TEG14-web前端高级开发工程师（深,职位薪资:15000-30000
2,天美—FPS手游客户端开发【12.22面试专场】,职位薪资:25000-40000
3,PCG12-Web前端安全开发,职位薪资:25000-50000
4,天美—高级游戏引擎开发【12.22面试专场】,职位薪资:25000-40000
5,高级产品经理,职位薪资:15000-30000
6,天美—FPS手游客户端开发【12.22面试专场】,职位薪资:25000-40000
7,前端高级开发工程师,职位薪资:25000-35000
8,助理教师（企鹅辅导）,职位薪资:7000-12000
9,产品策划,职位薪资:13000-26000
10,天美—FPS手游服务器开发【12.22面试专场】,职位薪资:25000-40000
11,天美—FPS手游服务器开发【12.22面试专场】,职位薪资:25000-40000
12,TEG09-CDN架构专家工程师（深圳）,职位薪资:30000-50000
13,天美—FPS手游客户端开发【12.22面试专场】,职位薪资:25000-40000
14,设计专员,职位薪资:5000-6000
15,腾讯体育后台开发工程师,职位薪资:20000-30000
16,天美—高级游戏引擎开发【12.22面试专场】,职位薪资:25000-40000
17,腾讯音乐IOS开发工程师,职位薪资:20000-40000
18,前端开发工程师,职位薪资:15000-30000
19,PCG12-信息安全工程师,职位薪资:25000-50000
20,全民K歌Android开发工程师（深圳）,职位薪资:20000-40000
21,TEG09-资深视频AI处理工程师（深圳）,职位薪资:15000-30000
22,天美—FPS手游客户端开发【12.22面试专场】,职位薪资:25000-40000
23,人力资源专员,职位薪资:5000-6000
24,天美—FPS手游服务器开发【12.22面试专场】,职位薪资:25000-40000
25,PCG12-移动安全高级工程师（深圳）,职位薪资:25000-50000
26,课程顾问（深圳腾讯教育科技有限公司）,职位薪资:7000-12000
27,TEG14-运营开发工程师（深圳）,职位薪资:15000-30000
28,天美—高级游戏引擎开发【12.22面试专场】,职位薪资:25000-40000
29,后台安全策略,职位薪资:14000-20000
30,21309-深圳市腾讯教育科技有限公司质检主管,职位薪资:10000-12000
31,PCG12-灯塔web前端高级开发工程师,职位薪资:25000-50000
32,天美—FPS手游服务器开发【12.22面试专场】,职位薪资:25000-40000
33,TEG10-高级规划架构师（深圳）,职位薪资:15000-30000
34,新媒体运营岗,职位薪资:5000-6000
35,全民K歌web前端工程师（深圳）,职位薪资:20000-40000
36,业务运维工程师,职位薪资:1000-2000
37,15571-高级引擎开发工程师,职位薪资:15000-30000
38,腾讯医典高级后台开发（深圳）,职位薪资:20000-40000
39,TME-腾讯音乐C++/GO后台开发工程师（深圳）,职位薪资:15000-30000
40,Web前端开发工程师（知识管理产品）,职位薪资:15000-16000
41,SA-腾讯社交广告web前端开发工程师（北京）,职位薪资:20000-40000
42,腾讯医典高级前端开发（深圳）,职位薪资:20000-40000
43,unity客户端开发工程师,职位薪资:19000-35000
44,腾讯CSIG事业群人力资源实习生,职位薪资:2000-3000
45,Python,职位薪资:6000-7000
46,资深虚拟网络专家,职位薪资:20000-40000
47,售前顾问,职位薪资:22000-44000
48,腾讯音乐Android开发工程师,职位薪资:20000-30000
49,全民k歌运营开发工程师,职位薪资:16000-30000
50,15571-FPS手游服务器开发工程师,职位薪资:15000-30000
51,15571-unity客户端开发工程师,职位薪资:15000-30000
52,腾讯音乐PHP应用开发工程师,职位薪资:15000-30000
53,诉讼法务顾问（深圳）,职位薪资:20000-30000
54,PCG12-后台策略安全工程师,职位薪资:25000-50000
55,高级引擎开发工程师,职位薪资:18000-35000
56,Web前端开发工程师（代码管理产品）,职位薪资:15000-30000
57,unity客户端开发工程师专场岗位,职位薪资:25000-50000
58,活动策划专员,职位薪资:4000-5000
59,Python,职位薪资:10000-20000
60,公检法行业架构师,职位薪资:25000-50000
61,用户运营,职位薪资:15000-25000
62,Web前端高级开发工程师（云计算产品）,职位薪资:20000-40000
63,腾讯音乐测试开发工程师,职位薪资:16000-30000
64,DevOps产品Java高级开发工程师,职位薪资:18000-35000
65,腾讯音乐PHP开发工程师,职位薪资:15000-30000
66,公检法行业架构师,职位薪资:25000-50000
67,FPS手游服务器开发工程师,职位薪资:18000-35000
68,PCG05-测试开发工程师,职位薪资:25000-35000
69,pcg-qq后台开发工程师,职位薪资:20000-40000
70,数据库引擎高级开发工程师,职位薪资:30000-60000
71,C++后台开发工程师,职位薪资:20000-40000
72,运营开发工程师,职位薪资:1000-2000
73,在线教育Web前端开发高级工程师（深圳）,职位薪资:20000-40000
74,腾讯云云市场前端高级工程师,职位薪资:15000-30000
75,视频编解码算法工程师(深圳/北京),职位薪资:1000-2000
76,MMORPG战斗系统策划师（上海）,职位薪资:15000-30000
77,腾讯视频数据挖掘工程师,职位薪资:22000-44000
78,web前端,职位薪资:15000-30000
79,PCG05-视觉算法工程师（北京）,职位薪资:30000-60000
80,21309-深圳市腾讯教育科技有限公司师训主管,职位薪资:9000-15000
81,"微视后台开发工程师（C++, Python）",职位薪资:15000-25000
82,企鹅FM算法工程师,职位薪资:15000-25000
83,社交产品后台开发（GO语言）,职位薪资:15000-30000
84,数据分析产品经理,职位薪资:10000-20000
85,互联网+nodejs前端开发工程师（深圳）,职位薪资:15000-30000
86,小程序前端测试开发工程师,职位薪资:14000-22000
87,测试经理,职位薪资:18000-35000
88,测试开发实习生（自动驾驶技术）,职位薪资:2000-3000
89,PHP实习生,职位薪资:4000-8000
90,腾讯新闻科技热点组内容运营,职位薪资:10000-20000
91,安全开发工程师-代码保护方向,职位薪资:25000-40000
92,微信搜索基础后台开发工程师,职位薪资:16000-30000
93,HRBP助理,职位薪资:4000-6000
94,TME-腾讯音乐web开发工程师,职位薪资:17000-30000
95,腾讯测试开发工程师,职位薪资:18000-35000
96,商户管理产品经理,职位薪资:19000-35000
97,腾讯音乐视频类新产品后台开发工程师,职位薪资:20000-40000
98,21309-深圳市腾讯教育科技有限公司客服专员,职位薪资:4000-6000
99,腾讯云-政务ka销售（西安）,职位薪资:30000-60000
100,视频播放质量测试工程师,职位薪资:15000-30000
101,TME-腾讯音乐iOS开发工程师（12.8-招聘专场）,职位薪资:20000-30000
102,IEG—PHP研发工程师,职位薪资:20000-30000
103,电话销售专员（深圳腾讯教育科技有限公司）,职位薪资:5000-10000
104,运营商客户经理（华南）,职位薪资:30000-60000
105,TEG04-PHP高级开发工程师,职位薪资:20000-30000
106,微信数据平台web前端开发工程师,职位薪资:14000-17000
107,视频安全后台开发,职位薪资:17000-30000
108,企鹅电竞后台开发工程师,职位薪资:15000-30000
109,web前端开发工程师,职位薪资:15000-30000
110,TME-腾讯音乐iOS开发工程师,职位薪资:20000-30000
111,行政福利专员,职位薪资:10000-15000
112,手机QQ C/C++/Java/Go后台高级开发工程师,职位薪资:17000-30000
113,腾讯小微安卓应用开发,职位薪资:20000-40000
114,微信数据平台开发工程师（深圳）,职位薪资:15000-24000
115,腾讯教育科技有限公司辅导老师(武汉）,职位薪资:6000-11000
116,自然语言处理工程师,职位薪资:18000-35000
117,高级引擎开发工程师（专场招聘）,职位薪资:25000-40000
118,18428-AI应用研发工程师,职位薪资:19000-35000
119,PCG17-高级产品运营经理,职位薪资:30000-60000
120,TME-腾讯音乐GO后台开发（12.8-招聘专场）,职位薪资:20000-30000
121,招聘经理,职位薪资:19000-34000
122,全民k歌运营开发工程师（深圳）,职位薪资:18000-35000
123,在线教育高级后台开发工程师,职位薪资:20000-40000
124,中间件高级工程师,职位薪资:18000-35000
125,大数据和人工智能高级开发工程师,职位薪资:20000-21000
126,微信iOS客户端开发工程师,职位薪资:15000-30000
127,IEG—PHP研发工程师,职位薪资:20000-30000
128,腾讯地图高级算法评测工程师,职位薪资:1000-2000
129,微信商业前端化开发工程师,职位薪资:25000-50000
130,微信运维规划工程师,职位薪资:18000-24000
131,证券业务C++后台开发高级工程师,职位薪资:15000-30000
132,微黄金产品运营经理,职位薪资:19000-35000
133,测试工程师,职位薪资:16000-32000
134,腾讯云C++高级工程师,职位薪资:25000-50000
135,后台开发,职位薪资:25000-50000
136,推荐算法工程师,职位薪资:20000-40000
137,基础架构工程师(专场招聘）,职位薪资:25000-40000
138,unity客户端开发工程师（专场招聘）,职位薪资:20000-40000
139,项目经理,职位薪资:15000-20000
140,大数据方向后台开发(上海，北京，深圳),职位薪资:20000-35000
141,TME-腾讯音乐系统测试工程师,职位薪资:17000-30000
142,运营开发工程师,职位薪资:20000-40000
143,汽车和出行行业前端高级工程师,职位薪资:35000-65000
