ad,lon,lat,count,pub,lon,lat,count,media,lon,lat,count
Beijing,116.3877869,39.91394967,14,Beijing,116.3877869,39.91394967,8,Beijing,116.3877869,39.91394967,16
Shanghai,121.4744568,31.22454578,10,Guangzhou,113.3129883,23.17066383,3,Shanghai,121.4744568,31.22454578,7
Guangzhou,113.3129883,23.17066383,5,Chengdu,104.0652466,30.67807762,1,Guangzhou,113.3129883,23.17066383,3
Shenzhen,114.0559387,22.54426932,2,Chongqing,106.5563965,29.53522956,1,Hangzhou,120.1959229,30.22110185,2
Huzhou,120.1959229,30.22110185,1,Shanghai,121.4744568,31.22454578,1,Shenzhen,114.0559387,22.54426932,2
Suzhou,114.1620255,22.27924829,1,Shenzhen,114.0559387,22.54426932,1,Changsha,112.9943848,28.17371762,2
Tianjin,117.2021484,39.13006024,1,,,,,Wuhan,114.2962646,30.56935575,2
,,,,,,,,Chengdu,104.0652466,30.67807762,1
,,,,,,,,Wuxi,120.3030396,31.57151553,1
,,,,,,,,Chongqing,106.5563965,29.53522956,1
,,,,,,,,Nanjing,118.828125,32.06395559,1
,,,,,,,,Dalian,121.574707,38.92950242,1
,,,,,,,,Jinan,117.0703125,36.64197781,1
,,,,,,,,Tianjin,117.2021484,39.13006024,1
